X.1,Getting better,Getting worse,Same (vol.),No opinion
2024 Dec 2,38,52,7,3
2024 Nov 6,36,55,5,4
2024 Oct 1,32,62,4,2
2024 Sep 3,32,62,5,2
2024 Aug 1,31,63,3,2
2024 Jul 1,24,70,4,2
2024 Jun 3,26,69,4,1
2024 May 1,26,70,3,1
2024 Apr 1,29,67,2,2
2024 Mar 1,33,63,3,1
2024 Feb 1,32,61,5,2
2024 Jan 2,30,63,4,2
2023 Dec 1,28,68,4,*
2023 Nov 1,23,72,5,*
2023 Oct 2,21,74,5,1
2023 Sep 1,24,73,3,*
2023 Aug 1,27,67,5,*
2023 Jul 3,27,67,5,1
2023 Jun 1,27,66,6,1
2023 May 1,20,76,3,*
2023 Apr 3,19,75,5,1
2023 Mar 1,23,72,4,1
2023 Feb 1,26,68,5,1
2023 Jan 2,22,72,4,2
2022 Nov 9,24,70,5,1
2022 Oct 3,20,74,5,1
2022 Sep 1,28,67,3,2
2022 Aug 1,25,72,3,*
2022 Jul 5,16,80,4,1
2022 Jun 1,13,85,2,*
2022 May 2,20,77,2,1
2022 Apr 1,20,76,3,1
2022 Mar 1,20,75,3,2
2022 Feb 1,26,70,3,1
2022 Jan 3,29,67,4,1
2021 Dec 1,26,67,5,1
2021 Nov 1,26,70,4,*
2021 Oct 1,27,68,4,1
2021 Sep 1,32,63,3,2
2021 Aug 2,37,60,3,*
2021 Jul 6,41,54,4,1
2021 Jun 1,47,50,2,1
2021 May 3,43,53,3,1
2021 Apr 1,47,46,5,1
2021 Mar 1,44,50,4,2
2021 Feb 3,39,54,6,1
2021 Jan 4,29,66,4,2
2020 Dec 1,29,64,6,2
2020 Nov 5,40,55,4,2
2020 Sep 30,42,53,4,1
2020 Aug 31,40,56,3,1
2020 Jul 30,32,61,6,1
2020 Jul 1,35,60,4,1
2020 May 28,33,62,3,1
2020 May 1,31,67,2,1
2020 Apr 14,26,71,1,1
2020 Apr 1,22,74,3,1
2020 Mar 2,47,47,5,1
2020 Feb 3,61,33,5,1
2020 Jan 2,59,33,6,1
2019 Dec 2,51,42,6,1
2019 Nov 1,52,41,5,2
2019 Oct 1,47,45,6,2
2019 Sep 3,46,48,5,1
2019 Aug 1,50,43,5,2
2019 Jul 1,54,37,6,3
2019 Jun 3,49,45,6,1
2019 May 1,54,41,3,2
2019 Apr 1,49,44,6,1
2019 Mar 1,52,41,6,1
2019 Feb 1,54,36,9,1
2019 Jan 2,44,48,5,3
2018 Dec 3,47,45,6,2
2018 Nov 1,57,36,5,2
2018 Oct 15,53,39,6,2
2018 Oct 1,57,34,6,3
2018 Sep 4,55,37,6,1
2018 Aug 1,57,38,4,2
2018 Jul 1,55,38,5,2
2018 Jun 1,56,35,7,2
2018 May 1,54,41,4,1
2018 Apr 2,46,45,7,2
2018 Mar 1,52,39,7,2
2018 Feb 1,55,36,7,2
2018 Jan 2,50,43,5,2
